number,value,datetime_start,datetime_complete,duration,params_dropout_p,params_hidden_weights0,params_hidden_weights1,params_initializers,params_kernel1,params_kernel2,params_learning_rate,params_momentum,params_n_fc_layers,params_optimizer,params_weight_decays,state
38,1.712544560432434,2024-04-22 09:36:47.303102,2024-04-22 09:37:02.443750,0 days 00:00:15.140648,0.3737701392322038,538.0,256.0,True,3,4,0.002763896474297388,,3,Adam,0.0009121401374110537,COMPLETE
39,2.3013951778411865,2024-04-22 09:37:02.444032,2024-04-22 09:37:17.681347,0 days 00:00:15.237315,0.3537192992146303,469.0,235.0,False,4,4,1.1846609528822341e-05,0.9516384097678118,3,SGD,5.111800739290109e-05,COMPLETE
40,1.0043034553527832,2024-04-22 09:37:17.681653,2024-04-22 09:37:32.933109,0 days 00:00:15.251456,0.4400981942347502,281.0,103.0,True,4,5,0.006194725968033321,0.9172430418713936,3,SGD,0.0005538086720756396,COMPLETE
41,0.9833073914051056,2024-04-22 09:37:32.933377,2024-04-22 09:37:48.160585,0 days 00:00:15.227208,0.44604100625579923,302.0,111.0,True,4,5,0.006347378573850758,0.9416887474936837,3,SGD,0.00051742753725122,COMPLETE
42,1.4059366583824158,2024-04-22 09:37:48.160891,2024-04-22 09:38:03.465227,0 days 00:00:15.304336,0.4553054565174763,287.0,102.0,True,4,5,0.005617408542643642,0.918314515187744,3,SGD,0.0020923528666048096,COMPLETE
43,1.0412302613258362,2024-04-22 09:38:03.465517,2024-04-22 09:38:18.642910,0 days 00:00:15.177393,0.4356975394581983,313.0,130.0,True,4,5,0.0031536270135875417,0.9419306225153841,3,SGD,0.000476285940858435,COMPLETE
44,1.2784559726715088,2024-04-22 09:38:18.643185,2024-04-22 09:38:33.854706,0 days 00:00:15.211521,0.4859738909913608,173.0,111.0,True,4,5,0.006625427930392899,0.8979415250698194,3,SGD,0.0013245542489099145,COMPLETE
45,2.157291889190674,2024-04-22 09:38:33.854974,2024-04-22 09:38:49.035745,0 days 00:00:15.180771,0.46665045277197115,234.0,128.0,False,4,4,0.0018657000412965695,0.9215966814892049,3,SGD,0.0006871085206518426,COMPLETE
46,1.4701725840568542,2024-04-22 09:38:49.036015,2024-04-22 09:39:04.292842,0 days 00:00:15.256827,0.4057900193112107,429.0,163.0,True,4,5,0.00954715749166382,0.9427639044836307,3,SGD,0.0030597716701489443,COMPLETE
47,1.393761157989502,2024-04-22 09:39:04.293121,2024-04-22 09:39:19.575573,0 days 00:00:15.282452,0.4400251196564088,606.0,,False,4,5,0.004035940486056007,0.8829038262805838,2,SGD,0.00029366554795836887,COMPLETE
48,1.011469691991806,2024-04-22 09:39:19.575842,2024-04-22 09:39:34.746149,0 days 00:00:15.170307,0.36477495132314536,362.0,146.0,True,4,4,0.0014201656023138754,0.9693611032690523,3,SGD,0.0004720277090216979,COMPLETE
49,1.3205029964447021,2024-04-22 09:39:34.746419,2024-04-22 09:39:49.696949,0 days 00:00:14.950530,0.3924311553555526,237.0,115.0,True,3,5,0.002946794621370499,0.8069046645893595,3,SGD,0.0008000476912025234,COMPLETE
50,1.4530841708183289,2024-04-22 09:39:49.697260,2024-04-22 09:40:04.970760,0 days 00:00:15.273500,0.42383789153078744,480.0,,True,4,5,0.00541713078889331,0.9922611223047696,2,SGD,6.19334454503408e-05,COMPLETE
51,1.1253982782363892,2024-04-22 09:40:04.971038,2024-04-22 09:40:20.139798,0 days 00:00:15.168760,0.3542623071350909,367.0,147.0,True,4,4,0.0014900555570688896,0.9700472937700877,3,SGD,0.0005033059117930483,COMPLETE
52,0.8520714342594147,2024-04-22 09:40:20.140072,2024-04-22 09:40:35.425240,0 days 00:00:15.285168,0.3793534436638776,572.0,205.0,True,4,4,0.002487875346935099,0.9555613407981288,3,SGD,0.0003431640591527621,COMPLETE
53,1.179214745759964,2024-04-22 09:40:35.425525,2024-04-22 09:40:50.716690,0 days 00:00:15.291165,0.4690752286385773,573.0,201.0,True,4,4,0.007003668977795596,0.9549484327760263,3,SGD,0.0003141549834657968,COMPLETE
54,1.026046335697174,2024-04-22 09:40:50.716976,2024-04-22 09:41:05.943598,0 days 00:00:15.226622,0.32186547533089643,410.0,205.0,True,4,4,0.002344302059047195,0.9337197599692341,3,SGD,0.0015517338957993722,COMPLETE
55,1.3335396647453308,2024-04-22 09:41:05.943902,2024-04-22 09:41:21.367474,0 days 00:00:15.423572,0.3894834772584342,706.0,344.0,True,4,4,0.00399509226786963,0.9432371564996048,3,SGD,0.00014170419035030007,COMPLETE
56,2.3014204502105713,2024-04-22 09:41:21.367758,2024-04-22 09:41:36.682582,0 days 00:00:15.314824,0.4209654467689983,639.0,483.0,False,4,4,0.000776815228464185,0.8603538521538522,3,SGD,0.0002178778896052228,COMPLETE
57,1.1248910427093506,2024-04-22 09:41:36.682860,2024-04-22 09:41:51.996552,0 days 00:00:15.313692,0.37813088720270027,569.0,218.0,True,4,5,0.0025552019505691763,0.9306818012605418,3,SGD,0.0009236304326585516,COMPLETE
58,2.0070825815200806,2024-04-22 09:41:51.996846,2024-04-22 09:42:07.329423,0 days 00:00:15.332577,0.33510894418983367,810.0,,True,4,4,1.8360772664851077e-05,0.9580267296405437,2,SGD,0.0005825668882990581,COMPLETE
59,1.1740113496780396,2024-04-22 09:42:07.329706,2024-04-22 09:42:22.764732,0 days 00:00:15.435026,0.2833035302413249,698.0,375.0,True,4,5,0.004775990400067256,0.9132874013815918,3,SGD,1.738506258272992e-05,COMPLETE
60,1.1017586588859558,2024-04-22 09:42:22.765033,2024-04-22 09:42:38.011378,0 days 00:00:15.246345,0.3979058366499401,333.0,266.0,True,4,5,0.003685341215918389,0.9514222883983805,3,SGD,0.00036194741577440535,COMPLETE
61,1.0889334082603455,2024-04-22 09:42:38.011659,2024-04-22 09:42:53.240150,0 days 00:00:15.228491,0.3657758782218575,267.0,126.0,True,4,4,0.0014660606905122012,0.9680291191160882,3,SGD,0.0002814328388566914,COMPLETE
62,1.099543273448944,2024-04-22 09:42:53.240430,2024-04-22 09:43:08.502933,0 days 00:00:15.262503,0.3108590247797936,385.0,139.0,True,4,4,0.0012714222728764694,0.9901362822987683,3,SGD,0.0005321774624387864,COMPLETE
63,1.1827347874641418,2024-04-22 09:43:08.503215,2024-04-22 09:43:23.769520,0 days 00:00:15.266305,0.36189169313657077,506.0,166.0,True,4,4,0.0019697140720430504,0.9712709920019986,3,SGD,0.00018396990014042154,COMPLETE
64,2.292293906211853,2024-04-22 09:43:23.769822,2024-04-22 09:43:38.997074,0 days 00:00:15.227252,0.34252305709701386,167.0,119.0,True,4,4,0.008879014530414474,0.9989484546006399,3,SGD,0.00011548392735425295,COMPLETE
65,1.1481680274009705,2024-04-22 09:43:38.997393,2024-04-22 09:43:54.193680,0 days 00:00:15.196287,0.4958061839992352,328.0,192.0,True,4,4,0.0032885595388467766,0.9632398217204023,3,SGD,0.0004209718107384733,COMPLETE
66,1.1537883281707764,2024-04-22 09:43:54.193986,2024-04-22 09:44:09.506647,0 days 00:00:15.312661,0.43508639609053795,605.0,153.0,True,4,4,0.0005458352792987304,0.9837324093799046,3,SGD,0.0006467809830997378,COMPLETE
67,1.1069884300231934,2024-04-22 09:44:09.506957,2024-04-22 09:44:24.631869,0 days 00:00:15.124912,0.32560458233721307,411.0,,True,4,3,0.0009813038714214278,0.9049904947174459,2,SGD,0.00025015238751039217,COMPLETE
68,2.2982271909713745,2024-04-22 09:44:24.632136,2024-04-22 09:44:39.910385,0 days 00:00:15.278249,0.29177938678822196,534.0,293.0,False,4,4,0.0014535394368182417,0.9390946875243681,3,SGD,0.00038225599828469386,COMPLETE
69,1.0957438051700592,2024-04-22 09:44:39.910679,2024-04-22 09:44:54.991774,0 days 00:00:15.081095,0.26366490233298906,103.0,,True,4,3,0.007509489556747831,0.8348225899486144,2,SGD,0.0008220649917863638,COMPLETE
70,0.8163441121578217,2024-04-22 09:44:54.992071,2024-04-22 09:45:10.266331,0 days 00:00:15.274260,0.38036790628730194,488.0,244.0,True,4,5,0.0008765330991718377,0.9785131152938741,3,SGD,1.006415714918741e-05,COMPLETE
71,1.1480454802513123,2024-04-22 09:45:10.266616,2024-04-22 09:45:25.600252,0 days 00:00:15.333636,0.38077057344153314,488.0,237.0,True,4,5,0.0008899963236755766,0.9763923719783208,3,SGD,2.7012825415872982e-05,COMPLETE
72,1.2023587226867676,2024-04-22 09:45:25.600551,2024-04-22 09:45:40.847994,0 days 00:00:15.247443,0.45488916094045917,428.0,241.0,True,4,5,0.0006597546161922435,0.9623276194344937,3,SGD,1.517024348608719e-05,COMPLETE
